Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Marzo,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Marzo,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Marzo,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,1085
2005,Marzo,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Marzo,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,203
2005,Marzo,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,84
2005,Marzo,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Marzo,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Marzo,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,178
2005,Marzo,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,17
2005,Marzo,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,2592
2005,Marzo,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,137
2005,Marzo,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,1006
2005,Marzo,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Otros_Volkswagen,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Passat,Automoviles,De_Lujo,Importado,Estados_Unidos,69
2005,Marzo,Volkswagen ,Passat_Cc,Automoviles,De_Lujo,Importado,Estados_Unidos,0
2005,Marzo,Volkswagen ,Pointer_Pick_Up,Camiones_ligeros,Pick_Ups,Importado,Brasil,206
2005,Marzo,Volkswagen ,Pointer_Wagon,Automoviles,Compactos,Importado,Brasil,188
2005,Marzo,Volkswagen ,Pointer_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,528
2005,Marzo,Volkswagen ,Pointer_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,3824
2005,Marzo,Volkswagen ,Polo_GTI,Automoviles,Subcompactos,Importado,España,0
2005,Marzo,Volkswagen ,Polo_4_Ptas,Automoviles,Subcompactos,Importado,India,921
2005,Marzo,Volkswagen ,Polo_5_Ptas,Automoviles,Subcompactos,Importado,Brasil,65
2005,Marzo,Volkswagen ,Routan,Camiones_ligeros,Minivans,Importado,Canada,0
2005,Marzo,Volkswagen ,Saveiro,Camiones_ligeros,Pick_Ups,Importado,Brasil,0
2005,Marzo,Volkswagen ,Sedan,Automoviles,Subcompactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Sharan,Camiones_ligeros,Minivans,Importado,Portugal,92
2005,Marzo,Volkswagen ,Sport_Van,Automoviles,Compactos,Importado,Argentina,0
2005,Marzo,Volkswagen ,Sportwagen,Automoviles,Compactos,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Tcross,Camiones_ligeros,SUVs,Importado,Brasil,0
2005,Marzo,Volkswagen ,Teramont,Camiones_ligeros,SUVs,Importado,Estados_Unidos,0
2005,Marzo,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Marzo,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Marzo,Volkswagen ,Touareg,Camiones_ligeros,SUVs,Importado,Eslovaquia,61
2005,Marzo,Volkswagen ,Transporter_Carga,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Marzo,Volkswagen ,Transporter_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Marzo,Volkswagen ,UP,Automoviles,Subcompactos,Importado,Brasil,0
2005,Marzo,Volkswagen ,Vento,Automoviles,Subcompactos,Importado,India,0
2005,Marzo,Volkswagen ,Virtus,Automoviles,Subcompactos,Importado,Brasil,0
2005,Marzo,Volkswagen ,Volkswagen_Caddy,Camiones_ligeros,Pick_Ups,Importado,Polonia,0
2005,Marzo,Volkswagen ,Vw_Van,Camiones_ligeros,Pick_Ups,Importado,Argentina,124
2005,Abril,Volkswagen ,Amarok,Camiones_ligeros,Pick_Ups,Importado,Argentina,0
2005,Abril,Volkswagen ,Beetle,Automoviles,Compactos,Nacional,Mexico,333
2005,Abril,Volkswagen ,Beetle_Cabrio,Automoviles,Compactos,Nacional,Mexico,25
2005,Abril,Volkswagen ,Bora,Automoviles,Compactos,Nacional,Mexico,1450
2005,Abril,Volkswagen ,Bora_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Abril,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Abril,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Abril,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,1103
2005,Abril,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Abril,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,204
